Order ID,Date,Customer ID,Total,Payment Method,Card Number,Authorisation Code
8987aed1c965464b9b22b3288bd3690a,2020-02-01 01:08:22,671942,75.01,Google Pay,N/a,db18faa643463c90fd3b0477f1caa6d9c734e577
d393984e08ea472da1031172fd781881,2020-02-01 07:32:20,991686,52.25,Paypal,N/a,c1930b607b624f23f86d85211af063e39b859358
74e463faf1b34caf928dd5038fb04566,2020-02-01 21:04:45,120455,188.93,Paypal,N/a,0c2866051f1bab13e7b7c4eba1dfcd3bf178ba76
f99085060ab04c728707a6d138c98ed1,2020-02-02 18:51:28,760665,187.88,Credit Card,6011023499925556,N/a
4ebe2a8622284ee39aafe97b20548665,2020-02-03 03:39:10,829042,657.89,Debit Card,341053006004904,N/a
9b143c4e6e044cf98dc247e7bfdddc20,2020-02-04 01:48:12,325769,117.57,Paypal,N/a,4bbbd14b6cfbdd63c382b6c4f5366e9a1d69733a
06d43645ed014aed8eec14ba5be1c965,2020-02-04 14:01:48,582767,260.04,Debit Card,3551786113871272,N/a
560cb1777cd04333b01235a348a932cc,2020-02-05 17:15:38,302166,22.77,Credit Card,4445523745897749132,N/a
ad52da5eb7854e0880b5299d8efabffe,2020-02-06 08:53:07,784524,28.61,Credit Card,4078751375131926486,N/a
a482da56bc024c0b86389a4374f9272d,2020-02-06 15:14:27,544424,205.72,Paypal,N/a,2a99f5e4800b9ed04be8efd31c851d82cbcb8b3e
45bc15b7aa81445e80af9bda36f7756d,2020-02-06 22:52:13,533188,168.41,Paypal,N/a,0cc292abafea3190341cd45165841d81940633fe
70fc88cce75a4ebb85e685c293f95747,2020-02-06 22:58:00,456222,78.93,Paypal,N/a,52aeb3b92d898416639684d34df63c7d83719b33
42f7aeb18f8041af9a4c3156a221a7af,2020-02-07 10:33:31,960029,222.13,Google Pay,N/a,c03dfb389e481f26f7fd54fea3e93409055f2d47
8a8bd97d63a64df6be5fcae618a03a74,2020-02-08 05:01:10,484676,19.02,Paypal,N/a,19a5874f295da0313f93cd8e9f1ae1a9eed75bfc
6c101516519245b3a96f1d5413ede833,2020-02-08 13:11:55,425540,173.45,Credit Card,4959877532388795259,N/a
a63321abbce542d4854f146fa9deed6f,2020-02-08 19:00:42,390404,1502.18,Debit Card,347668910678081,N/a
6a4b45066071492e960e57f33c1da8d0,2020-02-09 02:57:45,442246,354.84,Paypal,N/a,08ed50b15e693b17b4e3d8aca0522ad80c2ddc9c
618aae005e6a4a8eaaeac0cf8a5bec47,2020-02-09 09:38:13,582767,369.65,Debit Card,4410411647131,N/a
89162f5cf0484151bcbf3a37530b9b04,2020-02-09 11:56:18,415217,231.14,Debit Card,6011297506581202,N/a
b70c85071b684678960cc860aa8f8de9,2020-02-09 14:54:01,897632,67.87,Paypal,N/a,8ad700b79d0f4c46ac09efad1c77ef1c442daee0
17f83d61173a4a9b8921e3e24b3e9927,2020-02-10 03:30:02,946667,342.51,Paypal,N/a,4f91801cc67b3230931ad8ab8ffa7a6736282268
8262648397834b9ebe21902da92cd420,2020-02-10 11:38:52,119229,52.59,Debit Card,4522638721292470,N/a
71245eb371394312af0e5c4eb3457ddc,2020-02-10 23:18:03,670624,21.36,Paypal,N/a,00fa0143856578005b87bf77eb0e746f32b8a305
1f1ca45efa70456cb86add168846d4a4,2020-02-11 06:11:23,745409,327.02,Debit Card,3523315211950914,N/a
62b3bb20ad4c4a93bf86bd1449de8482,2020-02-11 10:46:36,661619,176.4,Paypal,N/a,6351d222e2af6f4d28af1f0efbce39e0f00e3ee1
2a82e95b3f274118a3c125cf801710a1,2020-02-11 16:30:57,966735,17.66,Credit Card,6011117926784386,N/a
93470664240e4463a7883db0e917c901,2020-02-11 21:11:46,582767,116.35,Debit Card,6542326630855824,N/a
d4b4faed54fd47a188566043f1abc290,2020-02-12 05:46:22,827998,16.0,Google Pay,N/a,c2e7fddc88923724152eb38785ba19cc531fbc23
e25472c02f5847afa7542e48bf59b702,2020-02-13 14:20:53,365663,127.91,Google Pay,N/a,7f7ec6a2784bcee798f50d575bb72206601034c3
fd918f36652f41329eb231f86f1fff2b,2020-02-13 18:11:05,689879,37.39,Paypal,N/a,5d261b8ce83693e73af2ced6b0a1ca899621352d
adbe9a14a2ea4d0aba24fa62d412dcf4,2020-02-13 19:15:04,163245,123.22,Debit Card,3584164743267090,N/a
337943bde0d147d6989c29a977fad5db,2020-02-13 22:53:12,443583,48.15,Credit Card,4646386420821949,N/a
0fd0b29c7fc247cfada1ebdec0f41965,2020-02-14 19:28:42,608293,21.92,Paypal,N/a,d9544c06574995c53e6e3428ea7c0220f4122450
e22476b6a72141a4b0b6d7891bc4c2ab,2020-02-15 01:59:36,346328,201.15,Paypal,N/a,b0d20e768a2b2180b0ef58315fc2516d079ffa47
772820b1acfe4b92bf976f62aa245283,2020-02-15 06:07:37,361604,58.83,Google Pay,N/a,436fb4c6b0da42afcba5c135edcda7be199f1ee0
